KD_Akari_8x8_V1-B1-P1,8,8,5,.1#..12..........##..1#..................#1..#2..........##..##.,1000100100000010000000000000010000000010000100000000001000000000
KD_Akari_8x8_V1-B1-P2,8,8,5,....##...4....2.#.#..2..#..............#..3..#.#.3....3...##....,0100001010100001010010000000010000100000000100101010000101000010
KD_Akari_8x8_V1-B1-P3,8,8,5,1..#.1#....#.##.......1..................#.......12.2....##.#..1,0100100000000000000000010000000000000000001000001001010000000010
KD_Akari_8x8_V1-B1-P4,8,8,5,.........#....1..3.2#.3....1#............................##..1#.,0000001000010000101001010100001000010000000000000000000000001000
KD_Akari_8x8_V1-B1-P5,8,8,5,.#........2..3.#.3....#..................#....3.#.4..#........#.,0010000001001010100001000100000000000010001000010101001000100000
KD_Akari_8x8_V1-B1-P6,8,8,5,........#.2..3.##......#.........3....#...4..#...#....3.........,0010000001001010000001000000000010100000010100100010000100000010
KD_Akari_8x8_V1-B1-P7,8,8,5,.1....2..##..##...3..#....................#..3...#1..##..#....#.,1000010100000000010100000010000000000100000010100000000000100000
KD_Akari_8x8_V1-B1-P8,8,8,5,.2....#..........31..##..........#....2.........12....##........,0010000001000000100100000100000000000101010000000010000010000000
KD_Akari_8x8_V1-B1-P9,8,8,5,.2..#.....3....2....#.#.#.3##......##3.#.#.#....3....#.....#..2.,1010000100010000001000010100010000100010100001000100000010000101
KD_Akari_8x8_V1-B1-P10,8,8,5,..........#..4...4.##.#..................#.#1.3...2..#..........,0000010001001010101001000100000000000010000000010100101000100000
KD_Akari_8x8_V1-B1-P11,8,8,5,.3...........2...2#.........##2.#........2.#...#.#..3.........#1,1010000001000010000001000100000100000010101010000001000100001000
KD_Akari_8x8_V1-B1-P12,8,8,5,.........10..21..#....#...2..#....#..1...2....#..##..#1.........,0100000000001001000001000101000000000010101000000000000000000010
KD_Akari_8x8_V1-B1-P13,8,8,5,....#....3....2...3..#..#..............#..#..3...4....3....#....,0100001010100001000100000010000000000100010010101010000101000010
KD_Akari_8x8_V1-B1-P14,8,8,5,..#.....2.....3........31#............###........2.....3.....#..,1000001001000001000000100000000110000000000000011000001001000001
KD_Akari_8x8_V1-B1-P15,8,8,5,.........2.##.3...3..#....................#..3...4.##.#.........,0100000000100101000100100010000000000100010010001010010001000000
KD_Akari_8x8_V1-B1-P16,8,8,5,..#.3.#...1...1............#........#............1...#...#.3.2..,0001010001001001000000000000000000000000000000001001000000101010
KD_Akari_8x8_V1-B1-P17,8,8,5,........3.##.2...4...#.......#....#.......#...3...1.#3.#........,1000000001001010101000000100000000000000000001010001001000000100
KD_Akari_8x8_V1-B1-P18,8,8,5,#..##..#..3..2...................................#....1..2.#2.#.,0010010001010010000000000000000000000000000000000000100110100100
KD_Akari_8x8_V1-B1-P19,8,8,5,.######..........4.##.2..................#.##.1..........###1##.,0000000001000000101001010100000000000010000000000000100000000000
KD_Akari_8x8_V1-B1-P20,8,8,5,..#........3.........#3...2...........#...#1#...2...#3.....#....,0001000000100010000100010100001000100000100001000001001010000100
